entry_id,pidgin_text,english_gloss,sentiment,emotion_category,emotion_secondary,register,sarcasm_flag,prosody_match,annotator_notes,topic_domain,speaker_gender,intensity,source_type,date_added,model_input,predicted_sentiment,sentiment_confidence
WZ-T-0304,My time go come and dem go know my name,My time will come and they will know my name,positive,pride,craving,street,no,matched,Female ambition and patience — determination under invisibility,work,female,3,original,2026-05-05,[EMOTION: pride] My time go come and dem go know my name,positive,0.9999
WZ-T-0305,I dey carry too much for my chest,I am carrying too much in my chest — emotional burden,negative,hustle_fatigue,,casual,no,matched,Emotional weight stored internally — female burden register,emotion,female,3,original,2026-05-05,[EMOTION: hustle_fatigue] I dey carry too much for my chest,negative,0.9984
WZ-T-0307,I dey smile for outside but inside different,I carry a smile on the outside but inside is different,negative,hustle_fatigue,hustle_fatigue,casual,no,matched,Masking pain — public smile private suffering,emotion,female,3,original,2026-05-05,[EMOTION: hustle_fatigue] I dey smile for outside but inside different,negative,0.9945
WZ-T-0309,I dey happy for real this time,I am genuinely happy this time,positive,joy,,casual,no,matched,Distinguishing real happiness from performed — authentic joy,emotion,female,2,original,2026-05-05,[EMOTION: joy] I dey happy for real this time,positive,0.9999
WZ-T-0310,I cook am with love,I cooked it with love,positive,joy,,casual,no,matched,Pride in cooking with care — female domestic warmth,food,female,2,original,2026-05-05,[EMOTION: joy] I cook am with love,positive,0.9999
WZ-T-0315,Life dey stress me but I no go give up,Life is stressing me but I will not give up,negative,hustle_fatigue,pride,casual,no,matched,Resilience statement under pressure — female determination,life,female,3,original,2026-05-05,[EMOTION: hustle_fatigue] Life dey stress me but I no go give up,negative,0.9994
WZ-T-0317,I don come far from where I start,I have come far from where I started,positive,pride,celebration,casual,no,matched,Reflecting on personal progress — quiet female pride,life,female,3,original,2026-05-05,[EMOTION: pride] I don come far from where I start,positive,0.9999
WZ-T-0321,I just dey testify,I am just testifying — giving testimony,positive,prayer_gratitude,celebration,casual,no,matched,Testimony register — sharing God's goodness publicly,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] I just dey testify,positive,0.9999
WZ-T-0322,God wey do am before go do am again,The God who did it before will do it again,positive,prayer_gratitude,pride,casual,no,matched,Faith declaration based on past testimony — forward-looking,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] God wey do am before go do am again,positive,0.9999
WZ-T-0324,Everything wey I ask God for don come,Everything I asked God for has come,positive,prayer_gratitude,celebration,casual,no,matched,Complete fulfillment of prayer — overflow of gratitude,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] Everything wey I ask God for don come,positive,0.9999
WZ-T-0327,Na God carry me reach here,It is God who brought me this far,positive,prayer_gratitude,pride,casual,no,matched,Attributing journey to divine guidance — testimony register,faith,female,3,original,2026-05-05,[EMOTION: prayer_gratitude] Na God carry me reach here,positive,0.9998
WZ-T-0332,I dey crave peace,I am craving peace,negative,craving,hustle_fatigue,casual,no,matched,Craving calm after sustained chaos — female burnout register,emotion,female,2,original,2026-05-05,[EMOTION: craving] I dey crave peace,negative,0.999
WZ-T-0333,I wan my own house bad bad,I really want my own house badly,negative,craving,hustle_fatigue,casual,no,matched,Housing craving — material stability desire very common Nigerian female aspiration,life,female,3,original,2026-05-05,[EMOTION: craving] I wan my own house bad bad,positive,0.9992
WZ-T-0334,I dey crave better,I am yearning for better,negative,craving,hustle_fatigue,casual,no,matched,General craving for improvement — aspirational restlessness,life,female,2,original,2026-05-05,[EMOTION: craving] I dey crave better,negative,0.9994
WZ-T-0337,This price no make sense abeg,This price doesn't make sense please,negative,market_energy,,casual,no,matched,Price frustration — female market negotiation register,money,female,2,original,2026-05-05,[EMOTION: market_energy] This price no make sense abeg,negative,0.9999
WZ-T-0338,How you take calculate this one?,How did you calculate this one?,negative,market_energy,suspicion,casual,no,matched,Challenging a price with rhetorical suspicion — Lagos market female,money,female,2,original,2026-05-05,[EMOTION: market_energy] How you take calculate this one?,neutral,0.9996
WZ-T-0340,You no dey fear God with this price?,Do you not fear God with this price?,negative,sarcasm,market_energy,street,yes,matched,Sarcastic moral appeal in market negotiation — very Nigerian female register,money,female,3,original,2026-05-05,[EMOTION: sarcasm] You no dey fear God with this price?,negative,0.9998
WZ-T-0341,I dey buy from you every time and you still dey charge me full price?,I buy from you every time and you still charge me full price?,negative,market_energy,anger,casual,no,matched,Loyalty not being rewarded — female market complaint,money,female,2,original,2026-05-05,[EMOTION: market_energy] I dey buy from you every time and you still dey charge me full price?,negative,0.9999
WZ-T-0342,Last price I give you na last price,The last price I gave you is the last price,negative,market_energy,pride,street,no,matched,Firm final offer — female seller holding her price,money,female,2,original,2026-05-05,[EMOTION: market_energy] Last price I give you na last price,negative,0.9999
WZ-T-0344,I no send you,I don't care about you — dismissal,negative,forming,,street,no,matched,Cold dismissal — female conflict register,conflict,female,2,original,2026-05-05,[EMOTION: forming] I no send you,negative,0.9999
WZ-T-0345,Try me and see,Try me and see what happens,negative,anger,pride,street,no,matched,Warning dare — female asserting she will respond,conflict,female,3,original,2026-05-05,[EMOTION: anger] Try me and see,negative,0.9998
WZ-T-0349,I go collect wetin belong to me,I will collect what belongs to me,negative,anger,pride,street,no,matched,Asserting right to what is hers — female self-advocacy,conflict,female,3,original,2026-05-05,[EMOTION: anger] I go collect wetin belong to me,negative,0.9999
WZ-T-0352,Nobody go silence me,Nobody will silence me,positive,pride,,street,no,matched,Female defiance of silencing — strong self-assertion,motivation,female,3,original,2026-05-05,[EMOTION: pride] Nobody go silence me,positive,0.9999
WZ-T-0355,oya dey watch me,Watch me — I will prove it,positive,pride,,street,no,matched,Challenge acceptance — two words carrying full female defiance,motivation,female,3,original,2026-05-05,[EMOTION: pride] oya dey watch me,positive,0.9999
WZ-T-0356,I carry myself reach here,I carried myself here — self-made,positive,pride,celebration,street,no,matched,Self-made declaration — no help narrative,motivation,female,3,original,2026-05-05,[EMOTION: pride] I carry myself reach here,positive,0.9999
WZ-T-0360,Ah you too try,Oh you really tried — sarcastic disbelief,negative,forming,,street,yes,matched,"Sarcastic acknowledgement — opposite of genuine praise, implies failure",social,female,2,original,2026-05-05,[EMOTION: forming] Ah you too try,negative,0.9997
WZ-T-0361,Oh so na me you wan impress,Oh so it's me you want to impress — not buying it,negative,sarcasm,,street,yes,matched,Sarcastic calling out of performative behavior directed at her,social,female,2,original,2026-05-05,[EMOTION: sarcasm] Oh so na me you wan impress,negative,0.9999
WZ-T-0364,You don do well well — same phrase different meaning,You did very well — sarcastic version implying failure,negative,sarcasm,,street,yes,contradicts,Female sarcastic use of praise phrase to mean opposite — mirrors WZ-T-0007 in female register,social,female,3,original,2026-05-05,[EMOTION: sarcasm] You don do well well — same phrase different meaning,negative,0.9999
WZ-T-0371,You do well,You did well — sarcastic disbelief at poor result,negative,sarcasm,,street,yes,contradicts,Same phrase sarcastic — speaker knows the result was actually bad,work,neutral,2,original,2026-05-05,[EMOTION: sarcasm] You do well,negative,0.9999
WZ-T-0373,You come early today oh,"You came early today — sarcastic, speaker arrived very late",negative,sarcasm,anger,street,yes,matched,Classic Lagos sarcasm for extreme lateness — said with a straight face,social,neutral,2,original,2026-05-05,[EMOTION: sarcasm] You come early today oh,negative,0.9999
WZ-T-0375,You wan teach me how to save money?,"You want to teach me how to save money? — sarcastic, speaker is richer",negative,forming,suspicion,street,yes,matched,Sarcasm at being given financial advice by someone worse off,money,neutral,3,original,2026-05-05,[EMOTION: forming] You wan teach me how to save money?,negative,0.9053
WZ-T-0377,This soup sweet oh,"This soup is delicious — sarcastic, it is clearly terrible",negative,sarcasm,,street,yes,matched,Sarcastic praise of bad food — deadpan delivery,food,neutral,2,original,2026-05-05,[EMOTION: sarcasm] This soup sweet oh,negative,0.9999
WZ-T-0379,Thank you for the advice,"Thank you for the advice — sarcastic, advice was useless or unsolicited",negative,sarcasm,anger,street,yes,contradicts,Sarcastic thanks for unwanted or unhelpful advice,social,neutral,2,original,2026-05-05,[EMOTION: sarcasm] Thank you for the advice,negative,0.9997
WZ-T-0381,You dey grind,"You are working hard — sarcastic, person is clearly doing nothing",negative,sarcasm,,street,yes,matched,Sarcasm at laziness — person is obviously not working,work,neutral,2,original,2026-05-05,[EMOTION: sarcasm] You dey grind,negative,0.9999
WZ-T-0383,You never late oh,"You are never late — extreme sarcasm, person is always late",negative,sarcasm,anger,street,yes,contradicts,Peak Nigerian sarcasm — said to someone who is chronically late,social,female,3,original,2026-05-05,[EMOTION: sarcasm] You never late oh,negative,0.9999
WZ-T-0385,You dress fine today oh,"You dressed well today — sarcastic, outfit is clearly a mess",negative,sarcasm,,street,yes,matched,Sarcastic fashion compliment — outfit is objectively bad,social,neutral,2,original,2026-05-05,[EMOTION: sarcasm] You dress fine today oh,negative,0.9999
WZ-T-0389,You sabi the work,"You know the work — sarcastic, person clearly does not",negative,sarcasm,suspicion,street,yes,matched,Sarcasm at incompetence — person has just made a clear mistake,work,neutral,2,original,2026-05-05,[EMOTION: sarcasm] You sabi the work,negative,0.9998
WZ-T-0393,You get patience oh,"You have patience — sarcastic, speaker is extremely impatient",negative,sarcasm,anger,street,yes,contradicts,Sarcasm said to someone who is obviously impatient and agitated,social,neutral,2,original,2026-05-05,[EMOTION: sarcasm] You get patience oh,negative,0.9999
WZ-T-0394,She sabi how to manage money,She knows how to manage money — sincere compliment,positive,market_energy,pride,casual,no,matched,Genuine praise of financial discipline,money,female,2,original,2026-05-05,[EMOTION: market_energy] She sabi how to manage money,positive,0.9999
WZ-T-0395,She sabi how to manage money oh,"She knows how to manage money — sarcastic, she just made a terrible financial decision",negative,sarcasm,shock,street,yes,matched,Sarcasm after witnessing financial irresponsibility,money,female,3,original,2026-05-05,[EMOTION: sarcasm] She sabi how to manage money oh,negative,0.9999
WZ-T-0397,E no hard,"It is not hard — sarcastic, task is clearly very difficult",negative,forming,hustle_fatigue,street,yes,matched,Deadpan sarcasm about extreme difficulty said with straight face,work,neutral,3,original,2026-05-05,[EMOTION: forming] E no hard,negative,0.8247
WZ-T-0399,E be like say God dey answer your prayer oh,It seems like God is answering your prayer — sarcastic when things are going badly,negative,sarcasm,shock,street,yes,matched,Sarcasm when things are clearly not going well — ironic prayer comment,faith,neutral,2,original,2026-05-05,[EMOTION: sarcasm] E be like say God dey answer your prayer oh,negative,0.9999
WZ-T-0401,You too quiet today oh,"You are very quiet today — sarcastic, person has not stopped talking",negative,sarcasm,anger,street,yes,contradicts,Sarcasm at someone who has been talking nonstop — quiet is the last thing they are,social,neutral,3,original,2026-05-05,[EMOTION: sarcasm] You too quiet today oh,negative,0.9999
WZ-T-0402,You don make am,You have made it — sincere celebration of success,positive,celebration,pride,casual,no,matched,Genuine celebration of someone's breakthrough,work,female,3,original,2026-05-05,[EMOTION: celebration] You don make am,positive,0.9999
WZ-T-0403,You don make am,"You have made it — sarcastic, situation has gotten worse not better",negative,sarcasm,shock,street,yes,contradicts,"Peak sarcasm — things just got significantly worse, not better",work,female,3,original,2026-05-05,[EMOTION: sarcasm] You don make am,negative,0.9999
WZ-T-0405,I know say you go do the right thing,I knew you would do the right thing — sarcastic after betrayal,negative,betrayal,forming,street,yes,matched,Said after someone did exactly the wrong thing — bitter sarcasm,relationship,neutral,3,original,2026-05-05,[EMOTION: betrayal] I know say you go do the right thing,negative,0.9999
WZ-T-0407,E easy na,"It is easy — sarcastic, task is clearly overwhelming",negative,sarcasm,hustle_fatigue,street,yes,matched,Sarcastic minimising of something genuinely difficult — na makes it cutting,work,neutral,3,original,2026-05-05,[EMOTION: sarcasm] E easy na,negative,0.9999
WZ-T-0408,Sorry oh,Sorry oh — genuine apology,neutral,neutral,,casual,no,matched,Sincere apology with emotional weight,relationship,female,2,original,2026-05-05,[EMOTION: neutral] Sorry oh,neutral,0.9999
WZ-T-0409,Sorry oh,"Sorry oh — sarcastic, no real remorse at all",negative,sarcasm,anger,street,yes,contradicts,Hollow apology said with zero sincerity — tone makes it an insult,relationship,female,2,original,2026-05-05,[EMOTION: sarcasm] Sorry oh,negative,0.9997
WZ-T-0411,The price good,"The price is fair — sarcastic, price is outrageously high",negative,sarcasm,market_energy,street,yes,contradicts,Sarcastic agreement with an absurd price — deadpan Lagos market register,money,neutral,3,original,2026-05-05,[EMOTION: sarcasm] The price good,negative,0.9999
WZ-T-0413,Your life sweet oh,Your life is sweet — sarcastic at someone performing happiness online,negative,sarcasm,suspicion,street,yes,contradicts,Sarcasm at performative social media happiness — everyone knows the real story,social,neutral,2,original,2026-05-05,[EMOTION: sarcasm] Your life sweet oh,negative,0.9999
WZ-T-0415,You try oh,You really tried — sarcastic complete failure,negative,sarcasm,hustle_fatigue,street,yes,contradicts,Cutting sarcasm at a failed effort — the too makes it sting more,work,female,2,original,2026-05-05,[EMOTION: sarcasm] You try oh,negative,0.9999
WZ-T-0416,She don comot,She has left — she actually left,negative,shock,betrayal,casual,no,matched,Shock at someone actually leaving — relationship or friendship ending unexpectedly,relationship,female,3,original,2026-05-10,[EMOTION: shock] She don comot,negative,0.9996
WZ-T-0417,He block me,He blocked me,negative,shock,betrayal,casual,no,matched,Shock at being blocked — digital age Nigerian relationship ending,relationship,female,3,original,2026-05-10,[EMOTION: shock] He block me,negative,0.9998
WZ-T-0422,E fall down just like that,It/he just fell down like that,negative,shock,,casual,no,matched,"Shock at sudden collapse — person, deal, or situation",life,neutral,3,original,2026-05-10,[EMOTION: shock] E fall down just like that,negative,0.9996
WZ-T-0424,Na so e just go like that?,He just went like that? — death or sudden departure,negative,shock,betrayal,casual,no,matched,Grief shock at sudden loss of a person — death or permanent departure,life,neutral,3,original,2026-05-10,[EMOTION: shock] Na so e just go like that?,negative,0.9996
WZ-T-0426,This thing shock me die,This thing shocked me badly,negative,shock,,street,no,matched,Intensified shock expression — die used as extreme intensifier,social,female,3,original,2026-05-10,[EMOTION: shock] This thing shock me die,negative,0.9993
WZ-T-0433,I wan make people sabi my name,I want people to know my name,positive,craving,pride,street,no,matched,Craving for recognition and legacy — ambition register,motivation,female,3,original,2026-05-10,[EMOTION: craving] I wan make people sabi my name,positive,0.9998
WZ-T-0434,I dey crave my own success story,I am craving my own success story,positive,craving,hustle_fatigue,casual,no,matched,Longing to have a breakthrough testimony of one's own,work,female,3,original,2026-05-10,[EMOTION: craving] I dey crave my own success story,positive,0.9999
WZ-T-0435,I just wan make God show himself,I just want God to show up for me,positive,craving,prayer_gratitude,casual,no,matched,Spiritual craving for divine intervention — intimate prayer register,faith,female,3,original,2026-05-10,[EMOTION: craving] I just wan make God show himself,positive,0.9999
WZ-T-0436,I wan make mama proud,I want to make my mother proud,positive,craving,pride,casual,no,matched,Craving parental pride — deeply Nigerian filial motivation,life,female,3,original,2026-05-10,[EMOTION: craving] I wan make mama proud,positive,0.9999
WZ-T-0450,Na investment no be spending,It is an investment not spending,positive,market_energy,pride,casual,no,matched,Reframing a purchase as investment — female financial self-justification,money,female,2,original,2026-05-10,[EMOTION: market_energy] Na investment no be spending,positive,0.9999
WZ-T-0457,E no been easy but I finish am,It was not easy but I finished it,positive,celebration,hustle_fatigue,casual,no,matched,Task completion after struggle — female perseverance payoff,work,female,3,original,2026-05-10,[EMOTION: celebration] E no been easy but I finish am,positive,0.9999
WZ-T-0458,I dey grateful for where I dey,I am grateful for where I am,positive,prayer_gratitude,,casual,no,matched,Contentment with current position — gratitude without comparison,life,female,2,original,2026-05-10,[EMOTION: prayer_gratitude] I dey grateful for where I dey,positive,0.9999
WZ-T-0468,E go make sense one day,It will make sense one day,positive,prayer_gratitude,hustle_fatigue,casual,no,matched,Faith that current struggle has future meaning,motivation,female,2,original,2026-05-10,[EMOTION: prayer_gratitude] E go make sense one day,positive,0.9999
WZ-T-0469,I dey go even if dem no clap for me,I am going even if nobody claps for me,positive,pride,hustle_fatigue,street,no,matched,Moving without validation — self-fuelled female ambition,motivation,female,3,original,2026-05-10,[EMOTION: pride] I dey go even if dem no clap for me,positive,0.9999
WZ-T-0477,I no dey hide my joy,I am not hiding my joy,positive,joy,celebration,casual,no,matched,Unashamed happiness — refusing to dim own light,emotion,female,2,original,2026-05-10,[EMOTION: joy] I no dey hide my joy,positive,0.9999
WZ-T-0479,This testimony no be small thing,This testimony is not a small thing,positive,prayer_gratitude,celebration,casual,no,matched,Weight of answered prayer — not taking blessing lightly,faith,female,3,original,2026-05-10,[EMOTION: prayer_gratitude] This testimony no be small thing,positive,0.9999
WZ-T-0480,God dey on time,God is always on time,positive,prayer_gratitude,,casual,no,matched,Affirming divine timing — common Nigerian faith expression,faith,female,2,original,2026-05-10,[EMOTION: prayer_gratitude] God dey on time,positive,0.9991
WZ-T-0485,I dey ready to blow,I am ready to make it big,positive,hustle_energy,pride,street,no,matched,Fired-up energy of someone who feels their moment is coming — confident and activated,motivation,female,4,original,2026-05-17,[EMOTION: hustle_energy] I dey ready to blow,positive,0.9999
WZ-T-0486,"This year na my year, nothing go stop me","This year is my year, nothing will stop me",positive,hustle_energy,pride,casual,no,matched,Declarative hustle energy — statement of intent and unstoppable momentum,motivation,neutral,5,original,2026-05-17,"[EMOTION: hustle_energy] This year na my year, nothing go stop me",positive,0.9999
WZ-T-0487,"I dey build something big, just watch me","I am building something big, just watch me",positive,hustle_energy,pride,casual,no,matched,Confident hustle energy — building with excitement and anticipation of results,work,female,4,original,2026-05-17,"[EMOTION: hustle_energy] I dey build something big, just watch me",positive,0.9999
WZ-T-0488,E dey sweet me to grind like this,I genuinely enjoy grinding like this,positive,hustle_energy,joy,casual,no,matched,"Rare positive relationship with hard work — enjoying the grind, not just enduring it",work,neutral,4,original,2026-05-17,[EMOTION: hustle_energy] E dey sweet me to grind like this,positive,0.9999
WZ-T-0489,My hustle dey pay oh,My hard work is paying off,positive,hustle_energy,celebration,casual,no,matched,Hustle energy expressed as visible results — the grind is working and the person feels it,money,female,4,original,2026-05-17,[EMOTION: hustle_energy] My hustle dey pay oh,positive,0.9999
WZ-T-0490,I no go sleep until I finish this work,I will not sleep until I finish this work,positive,hustle_energy,pride,casual,no,matched,Activated hustle mode — deliberate sacrifice of comfort for the work. Different from hustle_fatigue which is depleted.,work,neutral,4,original,2026-05-17,[EMOTION: hustle_energy] I no go sleep until I finish this work,positive,0.9999
WZ-T-0491,Na this grind go make me great,This grind is what will make me great,positive,hustle_energy,pride,street,no,matched,Purposeful hustle energy — connecting current work to future greatness,motivation,neutral,5,original,2026-05-17,[EMOTION: hustle_energy] Na this grind go make me great,positive,0.9999
WZ-T-0492,"I get ginger today, nothing go slow me down","I have energy and motivation today, nothing will slow me down",positive,hustle_energy,joy,casual,no,matched,Ginger in Lagos Pidgin = motivation and energy. Daily hustle energy when everything feels aligned.,work,female,4,original,2026-05-17,"[EMOTION: hustle_energy] I get ginger today, nothing go slow me down",positive,0.9999
WZ-T-0493,Poverty no go see me again,Poverty will never find me again,positive,hustle_energy,pride,street,no,matched,Defiant hustle energy — grind fuelled by memory of lack. Common declaration in Lagos grind culture.,money,neutral,5,original,2026-05-17,[EMOTION: hustle_energy] Poverty no go see me again,positive,0.9999
WZ-T-0494,"I wan make am before 30, I dey work for am","I want to be successful before 30, I am working toward it",positive,hustle_energy,craving,casual,no,matched,Time-pressured hustle energy — the 30 benchmark is a specific Nigerian youth cultural marker for success,motivation,female,4,original,2026-05-17,"[EMOTION: hustle_energy] I wan make am before 30, I dey work for am",positive,0.9999
WZ-T-0495,E never easy but I no dey give up,It is not easy but I am not giving up,positive,hustle_energy,hustle_fatigue,casual,no,matched,Resilient hustle energy — acknowledges difficulty but maintains forward momentum. Secondary hustle_fatigue shows the cost.,work,neutral,4,original,2026-05-17,[EMOTION: hustle_energy] E never easy but I no dey give up,positive,0.9999
WZ-T-0496,"I dey on my grind, watch how e go turn out","I am grinding hard, watch how it will turn out",positive,hustle_energy,pride,street,no,matched,Confident grind energy — the outcome is anticipated with certainty. Watch me energy.,motivation,female,4,original,2026-05-17,"[EMOTION: hustle_energy] I dey on my grind, watch how e go turn out",positive,0.9999
WZ-T-0497,I no get time for this kind person,I have no time for this kind of person,negative,contempt,suspicion,casual,no,matched,Cold contempt — dismissal without anger. The person is beneath the speaker's engagement.,relationship,female,3,original,2026-05-17,[EMOTION: contempt] I no get time for this kind person,negative,0.9998
WZ-T-0498,E no reach my level abeg,"He/she has not reached my level, please",negative,contempt,pride,street,no,matched,Contempt expressed as superiority — the other person is not worth direct engagement because they are on a lower level,social,neutral,3,original,2026-05-17,[EMOTION: contempt] E no reach my level abeg,negative,0.9996
WZ-T-0499,Who be you sef?,Who are you even?,negative,contempt,anger,street,no,matched,Sharp contempt question — sef amplifies the dismissiveness. Questions the person's worth or authority.,conflict,neutral,4,original,2026-05-17,[EMOTION: contempt] Who be you sef?,negative,0.9998
WZ-T-0500,I no send am at all at all,I do not care about him/her at all,negative,contempt,neutral,casual,no,matched,I no send = I do not care/regard. At all at all is Pidgin intensifier for absolute dismissal. Total contempt through indifference.,relationship,female,4,original,2026-05-17,[EMOTION: contempt] I no send am at all at all,negative,0.9999
WZ-T-0501,Who be you sef,Who exactly are you,negative,contempt,,street,no,contradicts,Cold rhetorical dismissal — not a genuine question,social,neutral,4,original,2026-05-26,[EMOTION: contempt] Who be you sef,negative,0.9997
WZ-T-0502,I no send you,I don't care about you at all,negative,contempt,,casual,no,matched,Complete indifference to the person's existence,social,neutral,4,original,2026-05-26,[EMOTION: contempt] I no send you,negative,0.9999
WZ-T-0503,You no reach my level,You haven't reached my level,negative,contempt,,street,no,matched,Direct assertion of superiority — icy not angry,social,neutral,4,original,2026-05-26,[EMOTION: contempt] You no reach my level,negative,0.9998
WZ-T-0504,E no concern me,It doesn't concern me,negative,contempt,,casual,no,matched,Complete dismissal of responsibility or interest,social,neutral,3,original,2026-05-26,[EMOTION: contempt] E no concern me,negative,0.9999
WZ-T-0505,You too small for this,You are too insignificant for this,negative,contempt,,street,no,matched,Dismissing someone as beneath the matter at hand,social,neutral,4,original,2026-05-26,[EMOTION: contempt] You too small for this,negative,0.9999
WZ-T-0506,I no dey talk to you,I am not talking to you,negative,contempt,,casual,no,matched,Withdrawal of engagement — cold not angry,social,neutral,3,original,2026-05-26,[EMOTION: contempt] I no dey talk to you,negative,0.9998
WZ-T-0507,Your matter no concern me at all at all,Your issue doesn't concern me whatsoever,negative,contempt,,street,no,matched,Emphatic double intensifier signals total dismissal,social,neutral,5,original,2026-05-26,[EMOTION: contempt] Your matter no concern me at all at all,negative,0.9999
WZ-T-0508,You too dey form,You are trying too hard to impress,negative,contempt,,street,no,matched,Dismissing someone as performative and transparent,social,neutral,3,original,2026-05-26,[EMOTION: contempt] You too dey form,negative,0.9998
WZ-T-0509,I no send am one bit,I don't care about him/her at all,negative,contempt,,casual,no,matched,One bit intensifies the total indifference,social,neutral,4,original,2026-05-26,[EMOTION: contempt] I no send am one bit,negative,0.9999
WZ-T-0510,You think say na you i dey do this for,You think I am doing this for you,negative,contempt,,street,no,matched,Rhetorical — asserting total independence from the listener,social,neutral,4,original,2026-05-26,[EMOTION: contempt] You think say na you i dey do this for,negative,0.9999
WZ-T-0511,I no dey,I am not affected — performing detachment,neutral,forming,,casual,no,contradicts,Speaker is very much present but performing absence,social,neutral,3,original,2026-05-26,[EMOTION: forming] I no dey,negative,0.9997
WZ-T-0512,Na me know myself,I know myself — performing self-sufficiency,neutral,forming,,casual,no,contradicts,Classic forming phrase — asserting independence while craving connection,social,neutral,3,original,2026-05-26,[EMOTION: forming] Na me know myself,negative,0.9993
WZ-T-0514,I no care wetin them do,I don't care what they do — performing indifference,neutral,forming,,casual,no,contradicts,The explicit claim of not caring signals the speaker cares deeply,social,neutral,3,original,2026-05-26,[EMOTION: forming] I no care wetin them do,negative,0.9995
WZ-T-0515,E no do anything to me,It didn't affect me — performing toughness,neutral,forming,,casual,no,contradicts,Asserting emotional immunity — classic forming after hurt,emotion,neutral,3,original,2026-05-26,[EMOTION: forming] E no do anything to me,negative,0.9998
WZ-T-0516,Me I don move on,I have moved on — performing closure,neutral,forming,,casual,no,contradicts,Performance of moving on — often delivered too quickly to be genuine,relationship,female,3,original,2026-05-26,[EMOTION: forming] Me I don move on,neutral,0.9948
WZ-T-0517,I no send the whole thing,I don't care about any of it,neutral,forming,,street,no,contradicts,Wholesale dismissal that is too complete to be genuine,social,neutral,3,original,2026-05-26,[EMOTION: forming] I no send the whole thing,negative,0.9999
WZ-T-0520,Nothing go stop me this year,Nothing will stop me this year,positive,hustle_energy,,street,no,matched,Defiant declaration of unstoppable ambition,motivation,neutral,4,original,2026-05-26,[EMOTION: hustle_energy] Nothing go stop me this year,positive,0.9999
WZ-T-0522,My time don reach,My time has come,positive,hustle_energy,,street,no,matched,Declaration that the speaker's breakthrough moment has arrived,motivation,neutral,4,original,2026-05-26,[EMOTION: hustle_energy] My time don reach,positive,0.9999
WZ-T-0523,I wan blow before thirty,I want to make it before thirty,positive,hustle_energy,,street,no,matched,The Lagos before-30 urgency script — specific cultural timeline pressure,motivation,neutral,4,original,2026-05-26,[EMOTION: hustle_energy] I wan blow before thirty,positive,0.9999
WZ-T-0525,My body no dey again oh,My body is not cooperating anymore,negative,hustle_fatigue,neutral,casual,no,matched,Physical depletion — body failing to respond to demands,health,female,4,original,2026-05-26,[EMOTION: hustle_fatigue] My body no dey again oh,negative,0.9995
WZ-T-0526,E dey pain me well well,It is paining me very much,negative,anger,neutral,casual,no,matched,Intense physical pain with frustration,health,female,4,original,2026-05-26,[EMOTION: anger] E dey pain me well well,negative,0.9999
WZ-T-0527,God don heal me,God has healed me,positive,prayer_gratitude,joy,casual,no,matched,Testimony of divine healing — patient considers themselves recovered,health,female,5,original,2026-05-26,[EMOTION: prayer_gratitude] God don heal me,positive,0.9997
WZ-T-0528,I no fit stand up,I cannot stand up,negative,hustle_fatigue,neutral,casual,no,matched,Physical incapacitation — serious symptom signal,health,female,4,original,2026-05-26,[EMOTION: hustle_fatigue] I no fit stand up,negative,0.9982
WZ-T-0529,My head dey pain me die,My head is paining me extremely,negative,shock,anger,street,no,matched,Severe headache with hyperbolic intensifier — die means extremely,health,neutral,4,original,2026-05-26,[EMOTION: shock] My head dey pain me die,negative,0.9998
WZ-T-0530,I don tire for this sickness,I am tired of this illness,negative,hustle_fatigue,betrayal,casual,no,matched,Chronic illness fatigue — patient exhausted by ongoing condition,health,female,4,original,2026-05-26,[EMOTION: hustle_fatigue] I don tire for this sickness,negative,0.9963
WZ-T-0531,Make God touch this my body,Let God touch this my body,positive,prayer_gratitude,craving,casual,no,matched,Prayer for healing — appealing to divine intervention for physical condition,health,female,4,original,2026-05-26,[EMOTION: prayer_gratitude] Make God touch this my body,positive,0.9999
WZ-T-0532,I no even know wetin dey do me,I do not even know what is wrong with me,negative,suspicion,neutral,casual,no,matched,Diagnostic uncertainty — patient aware something is wrong but cannot identify it,health,female,3,original,2026-05-26,[EMOTION: suspicion] I no even know wetin dey do me,negative,0.9994
WZ-T-0533,This cough no wan leave me,This cough does not want to leave me,negative,hustle_fatigue,suspicion,casual,no,matched,Persistent symptom personified — cough treated as an unwilling presence,health,neutral,3,original,2026-05-26,[EMOTION: hustle_fatigue] This cough no wan leave me,negative,0.9986
WZ-T-0534,My pikin dey run temperature,My child has a fever,negative,shock,neutral,casual,no,matched,Maternal health concern — fever in child reported with urgency,health,female,4,original,2026-05-26,[EMOTION: shock] My pikin dey run temperature,negative,0.9999
WZ-T-0535,I been think say I go die,I thought I was going to die,negative,shock,prayer_gratitude,casual,no,matched,Near-death experience reported retrospectively — hyperbole common in Nigerian health narratives,health,female,4,original,2026-05-26,[EMOTION: shock] I been think say I go die,negative,0.9997
WZ-T-0536,My belle dey do me somehow,My stomach is doing something strange,negative,suspicion,neutral,casual,no,matched,Abdominal discomfort described vaguely — common way to describe multiple conditions,health,female,3,original,2026-05-26,[EMOTION: suspicion] My belle dey do me somehow,negative,0.9993
